latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-1.16302,112.41257,347.42,1.09,1.04,2024-09-19,06:42,A,94,6.1NRT,298.45,56.86,D
-1.17083,112.42347,350.78,1.09,1.04,2024-09-19,06:42,A,96,6.1NRT,299.38,64.87,D
-1.16942,112.43304,342.95,1.09,1.04,2024-09-19,06:42,A,92,6.1NRT,299.46,47.2,D
-0.6836,115.77515,321.9,1.08,1.04,2024-09-19,06:42,A,59,6.1NRT,293.76,10.77,D
-0.95327,113.97527,312.16,1,1,2024-09-19,06:42,A,48,6.1NRT,297.51,4.24,D
-0.83042,114.82227,313.9,1.01,1.01,2024-09-19,06:42,A,51,6.1NRT,297.96,5.12,D
-1.15716,112.64098,312.27,1.07,1.03,2024-09-19,06:42,A,41,6.1NRT,297.68,4.91,D
-0.93169,114.20309,314.26,1,1,2024-09-19,06:42,A,57,6.1NRT,297.42,6.21,D
-0.93041,114.21188,317.82,1,1,2024-09-19,06:42,A,67,6.1NRT,297.89,9.07,D
-0.84023,114.83038,315.03,1.01,1.01,2024-09-19,06:42,A,57,6.1NRT,299.05,5.81,D
-1.10775,113.04893,315.71,1.04,1.02,2024-09-19,06:42,A,64,6.1NRT,297.76,8.39,D
-1.19856,112.4829,318.22,1.08,1.04,2024-09-19,06:42,A,70,6.1NRT,298.08,11.43,D
-1.15789,112.76514,327.88,1.06,1.03,2024-09-19,06:42,A,81,6.1NRT,296.04,21.69,D
-1.15655,112.77444,340.3,1.06,1.03,2024-09-19,06:42,A,90,6.1NRT,296.38,41.11,D
-1.18724,112.62624,315.97,1.07,1.03,2024-09-19,06:42,A,66,6.1NRT,296.72,8.33,D
-1.16697,112.76649,314.26,1.06,1.03,2024-09-19,06:42,A,61,6.1NRT,295.36,7.55,D
-1.28039,112.04736,321.35,1.13,1.06,2024-09-19,06:42,A,75,6.1NRT,296.24,16.62,D
-1.27894,112.05737,324.08,1.13,1.06,2024-09-19,06:42,A,78,6.1NRT,295.65,20.16,D
-1.13341,113.06199,318.87,1.04,1.02,2024-09-19,06:42,A,70,6.1NRT,297.74,11.36,D
-1.13209,113.07111,322.36,1.04,1.02,2024-09-19,06:42,A,75,6.1NRT,297.8,14.95,D
-1.23253,112.50726,312.85,1.08,1.04,2024-09-19,06:42,A,58,6.1NRT,298.26,6.25,D
-1.21462,112.63023,313.06,1.07,1.03,2024-09-19,06:42,A,24,6.1NRT,297.97,5.12,D
-1.22376,112.63153,337.92,1.07,1.03,2024-09-19,06:42,A,89,6.1NRT,298.99,36.9,D
